Cerdanyola,meanE_tn,5.958683883727906,3.689734678936759,4.65776883254174,4.7175743014509885,7.61172778196568,2.738474482459408,2.9543610111431056
Cerdanyola,mStdvE_tn,4.545634305371373,1.9678789068108056,3.1281220010122905,5.566414189126174,10.705395449770187,2.4170571582740306,1.8169398877845058
Cerdanyola,meanE_proto,5.705387868073652,3.2860952535782615,4.647553702018966,4.558830766416824,7.615759521269743,2.501241628828594,2.9617552131403966
Cerdanyola,mStdvE_proto,4.545634305371373,1.9678789068108056,3.1281220010122905,5.566414189126174,10.705395449770187,2.4170571582740306,1.8169398877845058
Granollers,meanE_tn,3.3355541146384935,3.262095062653331,3.6440716148529897,2.9604700311372985,4.401174440120154,1.9409282142060689,1.447534983006383
Granollers,mStdvE_tn,2.1601117062261483,3.7526981361885303,3.3379059302514067,2.8641794672622285,5.110706824646201,0.9186996646201615,0.7764715219975743
Granollers,meanE_proto,2.978767504319583,2.661706198232539,3.1361256053623174,2.5367051564475265,3.6457224769334715,1.7161698442197533,1.3293586702095344
Granollers,mStdvE_proto,2.1601117062261483,3.7526981361885303,3.3379059302514067,2.8641794672622285,5.110706824646201,0.9186996646201615,0.7764715219975743
Mollet,meanE_tn,5.86458210894128,3.6660541182964983,3.0950010471303813,3.3610337527099774,8.302799585328936,2.026652157526923,2.226351705189638
Mollet,mStdvE_tn,5.836322107725218,2.88905023209874,2.3499730570124173,2.537393964376374,6.651028299688409,1.3192474948481931,2.4464365013532956
Mollet,meanE_proto,5.877051840654105,3.501998695241575,2.7712949197049483,3.374747319212018,7.10739736440793,1.8262079682084467,2.1961306951855986
Mollet,mStdvE_proto,5.836322107725218,2.88905023209874,2.3499730570124173,2.537393964376374,6.651028299688409,1.3192474948481931,2.4464365013532956
PratDelLlobregat,meanE_tn,5.184448421779893,4.510558366147737,4.837131406059873,5.593462891523746,9.839993070111372,2.366143358824233,2.219355062158519
PratDelLlobregat,mStdvE_tn,4.848300731698599,4.9698982378021705,4.3898342597281514,4.202408776507609,10.610522360866963,2.0013219522360997,1.966316306583342
PratDelLlobregat,meanE_proto,5.944812515947903,4.700207299379017,4.955684830973307,5.303919423512653,6.815292408386315,2.531875472198023,2.0139893365302117
PratDelLlobregat,mStdvE_proto,4.848300731698599,4.9698982378021705,4.3898342597281514,4.202408776507609,10.610522360866963,2.0013219522360997,1.966316306583342
QuatreCamins,meanE_tn,4.1054964665911475,3.0523019507418376,5.858425408028304,7.60942695083232,4.960719550351842,2.1075007418799476,2.2883306624428674
QuatreCamins,mStdvE_tn,4.248897535604681,2.659339901330383,6.554067627734767,7.338686621927581,3.8140992079635603,1.1240127897592198,1.6498358422389237
QuatreCamins,meanE_proto,3.2319355867695765,2.4305306446797457,5.489286881415975,7.6718123165814305,4.121564417150284,2.718102824869251,2.3609180502659735
QuatreCamins,mStdvE_proto,4.248897535604681,2.659339901330383,6.554067627734767,7.338686621927581,3.8140992079635603,1.1240127897592198,1.6498358422389237
SantBoi,meanE_tn,5.235147203490278,3.86288169384443,3.334067158681588,4.045593482811299,7.665001663875105,7.206284064413378,10.501030463507854
SantBoi,mStdvE_tn,3.9537634317289796,3.7024143556642195,2.732853831387457,3.137231090341882,5.691099579360638,3.6323321193286913,6.493225862219228
SantBoi,meanE_proto,4.290377379758833,3.3668283861377475,2.823853871175606,3.371499128524723,5.534226108820644,7.249245433308374,8.61750032641161
SantBoi,mStdvE_proto,3.9537634317289796,3.7024143556642195,2.732853831387457,3.137231090341882,5.691099579360638,3.6323321193286913,6.493225862219228
SantSadurni,meanE_tn,4.351673158848828,2.8693977932130905,3.89474796987931,7.493273868548912,5.72421572700367,2.51753541717222,1.340313968758542
SantSadurni,mStdvE_tn,2.716758487497112,2.3804587280414067,2.489340586700316,6.642831292878533,5.660520023604264,1.6293479198714012,1.5607348827186223
SantSadurni,meanE_proto,3.6938529930471002,2.2912014611540124,3.539113121525491,7.400657902424783,4.158294581029536,2.395212588680588,1.3033161132310218
SantSadurni,mStdvE_proto,2.716758487497112,2.3804587280414067,2.489340586700316,6.642831292878533,5.660520023604264,1.6293479198714012,1.5607348827186223
Vilanova,meanE_tn,2.751925698162728,1.637258782023321,1.9536411329340133,1.61973981100532,2.7133492492928464,1.3873080625939291,0.8433418026245243
Vilanova,mStdvE_tn,2.15851238335788,1.2486966667829735,1.4619382082407975,1.0999876179034012,1.837464260096681,0.8881781176642548,0.6261276956695198
Vilanova,meanE_proto,2.6004667788306324,1.3749166683016025,1.650615820571047,1.2729618979496486,1.7163722231348892,1.0526950637644352,0.8583735284981765
Vilanova,mStdvE_proto,2.15851238335788,1.2486966667829735,1.4619382082407975,1.0999876179034012,1.837464260096681,0.8881781176642548,0.6261276956695198
